job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,Employee_status,gender,age,marital_status_maried(Y/N),number_of_dependences,number_of_dependences (male),number_of_dependences (female),Education_level,GPA,year_graduated,job_duration_as_permanent_worker,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Best Performance,Avg_achievement_%,Last_achievement_%,Achievement_above_100%_during3quartal,achievement_target_1,achievement_target_2,achievement_target_3
JG04,1.67,PG03,1.67,0.5,RM_type_B,Permanent,Male,1990,N,0,0,0,level_4,3.01,2013,4,4,2,3,2,8,0,0,119.9166667,117.14,3,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.33,PG03,1.33,0.5,RM_type_A,Permanent,Female,1989,Y,1,0,1,level_4,2.89,2011,3,3,2,2,0,2,2,0,55.07,57.69,0,achiev_< 50%,achiev_< 50%,not_reached
JG04,1.83,PG03,1.83,1.33,RM_type_B,Permanent,Male,1991,Y,1,1,0,level_4,2.89,2014,3,3,3,2,0,2,1,0,55.35,65.77,0,achiev_50%-100%,achiev_< 50%,reached
JG05,2.75,PG06,0,0.5,RM_type_A,Permanent,Female,1969,N,0,0,0,level_4,0,2011,25,25,11,10,1,3,0,0,70.09,72.39,0,achiev_50%-100%,achiev_< 50%,reached
JG05,6.58,PG06,5,3.5,RM_type_A,Permanent,Female,1971,Y,2,0,2,level_1,0,\N,29,29,12,6,0,3,0,0,83.81333333,91.7,1,achiev_50%-100%,achiev_50%-100%,reached
JG05,8,PG06,5.5,0.5,RM_type_A,Permanent,Male,1970,Y,2,0,2,level_4,2.7,1996,17,22,10,6,8,4,0,0,60.90666667,64.79,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_4,0,2008,6,6,3,3,0,15,0,0,70.01,77.06,0,achiev_50%-100%,achiev_< 50%,not_reached
JG04,1.42,PG03,1.42,1.5,RM_type_B,Permanent,Male,1983,Y,2,1,1,level_4,3.03,2008,6,6,4,5,0,1,0,0,68.88666667,70.26,0,achiev_50%-100%,achiev_50%-100%,not_reached
JG04,1.92,PG03,1.92,1.5,RM_type_A,Permanent,Male,1985,Y,1,0,1,level_3,3.03,2006,6,6,4,3,2,3,4,0,57.42666667,59.81,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.92,PG03,1.92,0.5,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_3,2.92,2008,6,6,5,3,0,3,3,0,45.44,40.17,0,achiev_50%-100%,achiev_< 50%,not_reached
JG04,1.42,PG03,1.42,0,RM_type_A,Permanent,Male,1985,Y,1,0,1,level_4,2.8,2010,6,6,4,3,2,3,0,0,57.48333333,59.24,0,achiev_< 50%,achiev_50%-100%,not_reached
JG04,2.67,PG03,2.67,1.5,RM_type_B,Permanent,Male,1986,N,0,0,0,,,,6,6,4,2,0,2,0,0,99.03666667,110.09,3,achiev_100%-150%,achiev_50%-100%,reached
JG04,1.92,PG03,1.92,1,RM_type_A,Permanent,Male,1983,Y,1,0,1,level_4,2.85,2005,6,6,5,3,2,0,0,0,67.86,68.4,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.92,PG03,1.92,1.5,RM_type_A,Permanent,Male,1986,Y,1,0,1,level_4,3.03,2008,5,5,3,3,0,2,3,0,58.09666667,61.6,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.33,PG03,1.33,0,RM_type_A,Permanent,Male,1985,Y,0,0,0,level_4,0,2010,5,5,4,5,0,0,0,0,72.42,72.28,0,achiev_50%-100%,achiev_< 50%,not_reached
JG04,1.5,PG03,1.5,2.33,RM_type_A,Permanent,Male,1990,N,0,0,0,level_3,3.21,2011,5,5,3,2,0,5,2,0,56.04333333,50.46,0,achiev_< 50%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,2,RM_type_A,Permanent,Male,1984,N,0,0,0,level_3,2.95,2008,5,5,2,3,0,0,0,0,78.96333333,58.59,2,achiev_< 50%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1986,Y,2,1,1,level_4,2.99,2011,5,5,3,4,0,6,0,0,72.82666667,93.84,1,achiev_100%-150%,achiev_< 50%,reached
JG04,1.92,PG03,1.92,1.5,RM_type_A,Permanent,Male,1984,Y,1,0,1,level_4,3.1,2008,5,5,3,3,0,4,0,0,85.87,109.56,1,achiev_100%-150%,achiev_> 1.5,not_reached
JG04,1.67,PG03,1.67,1.08,RM_type_A,Permanent,Male,1989,Y,0,0,0,level_1,7.28,2007,4,4,4,3,0,0,1,0,48.28666667,47.68,0,achiev_< 50%,achiev_< 50%,reached
JG04,1.5,PG03,1.5,1.5,RM_type_A,Permanent,Male,1988,Y,2,0,2,,,,4,4,3,3,0,6,6,0,71.72333333,74.92,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,0.33,RM_type_A,Permanent,Male,1987,Y,1,0,1,,,,4,4,3,3,1,6,1,0,72.17,87.05,1,achiev_50%-100%,achiev_50%-100%,reached
JG04,1.33,PG03,1.33,0.5,RM_type_A,Permanent,Male,1986,N,0,0,0,,,,4,4,2,2,0,3,0,0,77.65666667,77.87,0,achiev_< 50%,achiev_< 50%,reached
JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1992,Y,1,0,1,,,,4,4,3,2,0,4,9,0,76.13333333,89.38,1,achiev_50%-100%,achiev_< 50%,reached
JG04,1.5,PG03,1.5,1.5,RM_type_B,Permanent,Male,1991,Y,1,1,0,,,,4,4,2,2,0,5,0,0,56.36666667,64.52,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1989,Y,0,0,0,level_4,3.41,2012,3,3,2,3,0,4,0,0,73.47333333,73.44,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.42,PG03,1.42,0,RM_type_B,Permanent,Male,1988,Y,1,1,0,level_4,3,2014,3,3,1,2,0,10,0,0,22.29333333,40.04,0,achiev_< 50%,achiev_< 50%,reached
JG04,0.5,PG03,0.5,2.33,RM_type_B,Permanent,Male,1991,N,0,0,0,level_4,3.41,2013,2,2,1,2,0,0,0,0,65.89,76.76,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.58,PG03,1.58,1.5,RM_type_A,Permanent,Male,1991,N,0,0,0,level_4,0,2014,3,3,3,3,0,0,0,0,39.11,65.22,0,achiev_50%-100%,achiev_50%-100%,reached
JG04,1.5,PG03,1.5,1.92,RM_type_B,Permanent,Male,1989,Y,1,1,0,level_4,0,2013,2,2,1,2,0,1,1,0,20,20,0,,,
JG04,2,PG03,2,0.92,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_4,0,2009,6,6,2,3,1,2,0,0,85.76333333,82.31,1,achiev_50%-100%,achiev_< 50%,reached
JG04,2.08,PG04,0,2.5,RM_type_A,Permanent,Male,1988,Y,1,0,1,level_4,3.34,2011,5,5,2,2,4,7,0,0,76.76333333,77.01,0,achiev_> 1.5,achiev_< 50%,reached
JG05,6.58,PG06,5.33,3.17,RM_type_C,Permanent,Female,1970,Y,1,0,1,level_1,0,1989,28,28,10,9,6,2,1,0,26.89,40.73,0,achiev_< 50%,achiev_< 50%,reached
JG03,0.58,PG01,0.58,0.58,RM_type_B,Contract,Male,1992,Y,0,0,0,level_4,3.22,0,,1,1,1,0,0,0,0,,,,,,
JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1985,Y,2,1,1,level_4,0,2010,7,7,5,4,1,5,0,0,57.71666667,67.51,0,achiev_> 1.5,achiev_< 50%,not reached
JG04,2.58,PG03,2.58,2.17,RM_type_A,Permanent,Male,1985,Y,2,2,0,,,,7,7,4,5,8,5,0,0,101.7433333,120.02,2,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1986,Y,1,1,0,,,,6,6,4,4,6,4,0,0,50.79,48.42,1,achiev_< 50%,achiev_50%-100%,reached
JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1989,Y,1,1,0,,,,4,4,2,2,0,7,0,0,114.6933333,117.57,3,achiev_> 1.5,achiev_> 1.5,not reached
JG04,1.83,PG03,1.83,0.75,RM_type_C,Permanent,Male,1988,Y,0,0,0,level_4,3.12,2013,6,6,5,4,5,7,0,0,70.61666667,57.28,1,achiev_< 50%,achiev_< 50%,reached
JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1989,Y,2,2,0,,,,4,4,3,2,0,6,4,0,102.7766667,106.56,3,achiev_50%-100%,achiev_> 1.5,reached
JG03,0.83,PG01,0.83,0.83,RM_type_B,Contract,Male,1990,N,0,0,0,level_4,3.1,0,,1,1,1,0,0,0,0,,,,,,
JG04,1.75,PG03,1.75,0,RM_type_B,Permanent,Male,1986,Y,0,0,0,,,,7,7,7,8,7,0,0,0,87.81666667,97.88,1,achiev_> 1.5,achiev_> 1.5,not reached
JG04,1.17,PG03,1.17,0.5,RM_type_A,Permanent,Male,1988,Y,0,0,0,level_3,0,0,2,2,2,3,0,0,0,0,,,,,,
JG04,1.75,PG03,1.75,2.33,RM_type_A,Permanent,Male,1985,Y,2,2,0,,,,6,6,2,4,2,10,0,0,89.53,86.78,2,achiev_< 50%,achiev_> 1.5,reached
JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1986,Y,2,1,1,,,,6,6,4,5,0,3,0,0,106.1733333,104.42,3,achiev_50%-100%,achiev_> 1.5,not reached
JG04,1.75,PG03,1.75,0.5,RM_type_A,Permanent,Male,1990,Y,0,0,0,,,,4,4,4,3,0,5,1,0,57.85666667,61.3,0,achiev_100%-150%,achiev_< 50%,not reached
JG03,0.83,PG01,0.83,0.75,RM_type_B,Contract,Male,1991,N,0,0,0,level_4,3.27,0,,1,2,1,0,0,0,0,,,,,,
JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1986,Y,1,0,1,,,,6,6,4,4,10,0,0,0,76.10666667,104.36,1,achiev_50%-100%,achiev_100%-150%,reached
JG04,1.75,PG03,1.75,1.5,RM_type_A,Permanent,Male,1989,Y,1,0,1,,,,4,4,2,4,0,7,0,0,100.3533333,103.68,3,achiev_100%-150%,achiev_> 1.5,not reached
JG04,1.75,PG03,1.75,0.5,RM_type_A,Permanent,Male,1992,N,0,0,0,,,,4,4,3,5,0,3,0,0,78.70333333,83.28,1,achiev_50%-100%,achiev_> 1.5,not reached
JG04,1.75,PG03,1.75,0.92,RM_type_B,Permanent,Male,1986,Y,1,0,1,,,,6,6,3,3,1,5,1,0,88.95333333,105.51,2,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.58,PG03,1.58,0.67,RM_type_B,Permanent,Male,1987,Y,1,1,0,,,,6,6,5,2,0,9,0,0,38.01,33.54,0,achiev_50%-100%,achiev_< 50%,reached
JG03,0.75,PG01,0.75,0.67,RM_type_B,Contract,Male,1994,N,0,0,0,level_3,0,0,,1,2,1,0,0,0,0,,,,,,
JG03,0,PG01,0,0,RM_type_B,Contract,Male,1993,N,0,0,0,level_4,0,0,,1,1,1,0,0,0,0,,,,,,
JG04,1.17,PG03,1.17,1.5,RM_type_A,Permanent,Male,1989,Y,2,1,1,level_3,0,0,2,2,1,2,0,0,1,0,,,,,,
JG04,0.75,PG03,0.75,0.92,RM_type_B,Permanent,Male,1989,Y,1,0,1,level_3,0,0,1,1,2,4,0,0,0,0,,,,,,
JG04,1.83,PG03,1.83,3.42,RM_type_B,Permanent,Male,1990,Y,1,1,0,,,,7,7,3,3,3,0,1,0,46.97333333,43.55,0,achiev_100%-150%,achiev_< 50%,not reached
JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1986,Y,2,2,0,,,,4,4,2,5,4,0,1,0,112.7833333,115.45,3,achiev_50%-100%,achiev_> 1.5,not reached
JG04,1.83,PG03,1.83,0.92,RM_type_A,Permanent,Male,1980,Y,0,0,0,,,,6,6,4,7,3,1,0,0,89.67,78.39,2,achiev_50%-100%,achiev_> 1.5,reached
JG03,0.75,PG01,0.75,0.75,RM_type_B,Contract,Male,1991,N,0,0,0,level_3,0,0,,1,1,1,0,0,0,0,,,,,,
JG05,6.58,PG06,5.33,0.75,RM_type_A,Permanent,Female,1966,Y,4,1,3,level_3,3.08,1997,29,29,6,10,0,14,0,0,,,,,,
JG05,6,PG06,4,0.5,RM_type_A,Permanent,Female,1974,Y,2,0,2,level_1,48.61,1993,25,25,5,8,2,0,3,0,74.43333333,110.98,2,achiev_100%-150%,achiev_50%-100%,reached
JG04,2.67,PG03,2.67,1.5,RM_type_C,Permanent,Male,1987,Y,1,1,0,,,,6,6,3,5,13,9,0,0,81.7,103.75,2,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.58,PG03,1.58,2.83,RM_type_A,Permanent,Male,1986,Y,0,0,0,,,,6,6,3,4,0,16,0,0,96.07666667,94.94,3,achiev_100%-150%,achiev_50%-100%,reached
JG04,1.83,PG03,1.83,4,RM_type_B,Permanent,Male,1988,Y,0,0,0,,,,4,4,1,2,0,3,0,0,69.04333333,95.54,2,achiev_100%-150%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1990,Y,0,0,0,level_4,0,0,3,3,4,3,1,8,2,0,89.14666667,79.35,1,achiev_< 50%,achiev_50%-100%,reached
JG04,1.83,PG03,1.83,0.42,RM_type_B,Permanent,Male,1990,Y,0,0,0,level_4,0,0,3,3,4,3,0,4,1,0,69.76333333,83.1,0,achiev_50%-100%,achiev_< 50%,reached
JG03,0.58,PG01,0.58,0.58,RM_type_B,Contract,Male,1992,N,0,0,0,level_3,0,0,,1,1,1,0,0,0,0,,,,,,
JG05,7.25,PG06,4.5,0.17,RM_type_A,Permanent,Male,1968,Y,3,3,0,level_4,2.93,1995,22,22,12,8,7,5,0,0,43.33666667,43.72,0,achiev_50%-100%,achiev_< 50%,not reached
JG04,2.83,PG03,2.83,0.17,RM_type_C,Permanent,Male,1987,N,0,0,0,,,,7,7,4,4,10,5,2,0,117.3766667,119.56,3,achiev_50%-100%,achiev_> 1.5,reached
JG04,1.17,PG03,1.17,0.17,RM_type_B,Permanent,Male,1985,Y,2,0,2,,,,6,6,7,3,2,3,0,0,97.57,103.11,3,achiev_100%-150%,achiev_100%-150%,not reached
JG04,1.58,PG03,1.58,0.17,RM_type_B,Permanent,Male,1987,Y,1,1,0,,,,6,6,4,2,0,4,0,0,50.12,71.17,0,achiev_> 1.5,achiev_< 50%,reached
JG04,1.75,PG03,1.75,0.17,RM_type_A,Permanent,Female,1993,Y,0,0,0,level_4,0,0,3,3,4,4,0,5,8,0,118.6266667,121.3,3,achiev_100%-150%,achiev_> 1.5,reached
JG04,1.83,PG03,1.83,0.17,RM_type_B,Permanent,Male,1990,Y,1,1,0,level_4,0,0,2,2,2,2,1,8,0,0,25.40333333,49.77,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.17,PG03,1.17,0.17,RM_type_A,Permanent,Female,1987,N,0,0,0,level_4,0,0,2,2,2,3,1,0,0,0,,,,,,
JG03,0.83,PG01,0.83,0.17,RM_type_B,Contract,Male,1989,N,0,0,0,level_4,3.02,0,,1,2,1,0,0,0,0,,,,,,
JG03,0.58,PG01,0.58,0.17,RM_type_B,Contract,Male,1991,N,0,0,0,level_4,0,0,,1,2,1,0,0,0,0,,,,,,
JG04,1.58,PG03,1.58,0.17,RM_type_A,Permanent,Male,1990,Y,1,1,0,,,,4,4,4,3,2,8,3,0,83.89666667,81.39,1,achiev_50%-100%,achiev_< 50%,not reached
JG04,1.17,PG03,1.17,0.92,RM_type_A,Permanent,Male,1989,Y,1,0,1,level_4,0,0,2,2,2,3,0,5,0,0,51.27333333,127.74,1,achiev_> 1.5,achiev_> 1.5,reached
JG05,4.5,PG06,2.5,3.17,RM_type_C,Permanent,Female,1982,Y,2,1,1,level_4,0,2004,13,13,8,10,0,1,1,0,25.88,38.71,0,achiev_> 1.5,Tidak diberikan target,not reached
JG04,1.67,PG03,1.67,0.5,RM_type_A,Permanent,Female,1984,Y,0,0,0,level_3,3.27,2006,7,7,5,5,3,1,0,0,46.54666667,48.62,0,achiev_100%-150%,achiev_< 50%,reached
JG04,1.75,PG03,1.75,2.08,RM_type_B,Permanent,Male,1989,Y,2,2,0,,,,5,5,3,2,1,6,0,0,77.02666667,49.45,1,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,1.75,RM_type_B,Permanent,Male,1989,Y,1,0,1,,,,4,4,2,4,0,1,0,0,96.1,100.37,3,achiev_50%-100%,achiev_100%-150%,reached
JG04,1.83,PG03,1.83,0.25,RM_type_B,Permanent,Male,1989,Y,1,1,0,,,,5,5,7,5,2,6,0,0,57.69333333,53,0,achiev_100%-150%,achiev_< 50%,reached
JG04,1.75,PG03,1.75,0.25,RM_type_A,Permanent,Male,1989,Y,1,0,1,,,,5,5,3,3,5,10,0,0,89.96333333,108.39,2,achiev_> 1.5,achiev_50%-100%,reached
JG04,1.75,PG03,1.75,0.83,RM_type_A,Permanent,Male,1985,Y,1,1,0,,,,5,5,3,3,1,8,0,0,108.6866667,113.42,3,achiev_> 1.5,achiev_> 1.5,reached
JG03,0.58,PG01,0.58,0.5,RM_type_B,Contract,Male,1994,N,0,0,0,level_3,3.23,0,,1,2,1,0,0,0,0,,,,,,
JG04,1.58,PG03,1.58,1.5,RM_type_B,Permanent,Female,1988,Y,1,1,0,,,,5,5,2,2,0,4,1,0,71.66,73.26,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.67,PG03,1.67,0.92,RM_type_A,Permanent,Male,1986,Y,1,0,1,level_4,0,0,3,3,4,3,0,3,7,0,59.26333333,60.26,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.17,PG03,1.17,0.5,RM_type_A,Permanent,Male,1987,Y,1,0,1,level_3,0,0,2,2,2,3,1,0,0,0,,,,,,
JG04,2.67,PG03,2.67,0.92,RM_type_B,Permanent,Male,1982,Y,2,0,2,level_4,2.74,2015,7,7,5,4,3,8,0,0,44.15333333,49.65,0,achiev_100%-150%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,2.33,RM_type_B,Permanent,Male,1988,Y,2,1,1,,,,5,5,3,4,5,6,1,0,67.13,91.3,2,achiev_100%-150%,achiev_100%-150%,reached
JG04,1.75,PG03,1.75,1.83,RM_type_B,Permanent,Male,1983,Y,2,2,0,level_4,3.25,2006,5,5,3,2,2,0,0,0,79.74666667,64.42,1,achiev_< 50%,achiev_< 50%,reached
JG03,0.75,PG01,0.75,0.67,RM_type_B,Contract,Male,1994,N,0,0,0,level_3,0,0,,1,2,1,0,0,0,0,,,,,,
JG04,2.83,PG03,2.83,2.67,RM_type_C,Permanent,Male,1985,N,0,0,0,level_4,3.29,2008,7,7,4,4,6,4,1,0,68.97333333,76.53,0,achiev_50%-100%,achiev_50%-100%,reached
JG04,1.83,PG03,1.83,1.42,RM_type_B,Permanent,Male,1985,N,0,0,0,level_3,2.8,2007,6,6,4,4,0,4,14,0,71.56666667,73.66,0,achiev_100%-150%,achiev_< 50%,not reached
JG04,1.75,PG03,1.75,1.83,RM_type_A,Permanent,Male,1987,Y,1,0,1,level_4,3.47,2012,5,5,2,2,0,5,1,0,77.93,65.6,1,achiev_50%-100%,achiev_< 50%,not reached
JG04,1.75,PG03,1.75,1.42,RM_type_B,Permanent,Male,1991,Y,1,0,1,,,,4,4,3,3,0,6,0,0,66.43333333,72.49,0,achiev_50%-100%,achiev_< 50%,not reached
JG04,2.83,PG03,2.83,1,RM_type_A,Permanent,Male,1986,Y,2,1,1,level_4,3.06,2009,7,7,3,4,8,5,3,0,45.53333333,56.23,0,achiev_50%-100%,achiev_< 50%,reached
JG04,2.67,PG03,2.67,0,RM_type_A,Permanent,Male,1988,N,0,0,0,level_3,2.63,2009,6,6,4,4,5,5,8,0,49.3,54.97,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,1.42,RM_type_B,Permanent,Male,1982,Y,2,2,0,level_4,2.9,2008,5,5,3,2,0,7,2,0,55.41333333,49.64,0,achiev_< 50%,achiev_< 50%,reached
JG04,1.67,PG03,1.67,1.42,RM_type_A,Permanent,Male,1985,Y,2,2,0,level_3,3.46,2008,6,6,3,3,13,2,0,0,87.09,101.36,1,achiev_> 1.5,achiev_50%-100%,reached
JG04,1.75,PG03,1.75,1.42,RM_type_B,Permanent,Male,1988,Y,1,1,0,level_3,3.03,2009,5,5,3,2,0,0,0,0,40.12666667,27.74,0,achiev_50%-100%,Tidak diberikan target,not reached
JG04,1.75,PG03,1.75,0,RM_type_A,Permanent,Male,1991,N,0,0,0,level_4,0,0,3,3,2,2,3,4,2,0,63.03,62.17,0,achiev_100%-150%,achiev_< 50%,not reached
JG03,0.92,PG01,0.92,0.92,RM_type_B,Contract,Male,1987,N,0,0,0,level_4,3.43,0,,1,1,1,0,0,1,0,,,,,,
JG04,1.75,PG03,1.75,1.42,RM_type_A,Permanent,Female,1990,N,0,0,0,level_3,0,0,3,3,2,2,0,8,0,0,63.44333333,62.83,0,achiev_50%-100%,achiev_< 50%,not reached
JG04,1.83,PG03,1.83,0,RM_type_A,Permanent,Male,1985,Y,1,0,1,level_4,3.09,2009,6,6,5,3,0,5,1,0,52.90333333,65.57,0,achiev_< 50%,achiev_< 50%,reached
JG04,0.75,PG03,0.75,1.17,RM_type_B,Permanent,Male,1988,Y,1,0,1,,0,0,1,1,1,2,0,0,0,0,,,,,,
JG04,1.75,PG03,1.75,0,RM_type_A,Permanent,Male,1983,Y,1,0,1,level_3,2.76,2007,6,6,4,4,12,3,2,0,83.34666667,84.43,1,achiev_100%-150%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,1.42,RM_type_B,Permanent,Male,1987,N,0,0,0,,,,5,5,5,2,0,0,4,0,61.22,49.46,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.75,PG03,1.75,0,RM_type_B,Permanent,Male,1988,Y,1,1,0,,,,5,5,3,4,1,6,1,0,50.9,47.73,0,achiev_50%-100%,achiev_< 50%,not reached
JG04,1.75,PG03,1.75,1.42,RM_type_B,Permanent,Male,1990,N,0,0,0,level_4,0,0,3,3,2,2,0,8,1,0,42.84666667,37.78,0,achiev_50%-100%,achiev_< 50%,not reached
JG04,1.83,PG03,1.83,0.75,RM_type_A,Permanent,Male,1988,Y,1,0,1,level_4,3.19,2011,5,5,3,2,7,6,1,0,49.36666667,57.37,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.75,PG03,1.75,1.42,RM_type_B,Permanent,Male,1987,Y,1,0,1,level_4,3.19,2011,5,5,3,2,0,3,2,0,61.89666667,65.73,0,achiev_50%-100%,achiev_< 50%,reached
JG04,1.17,PG03,1.17,1,RM_type_A,Permanent,Male,1990,Y,0,0,0,level_4,0,0,2,2,2,3,0,0,1,0,,,,,,
JG05,5,PG06,2.5,2.08,RM_type_A,Permanent,Female,1969,Y,2,2,0,level_4,0,1993,24,24,7,7,9,9,2,0,40.73,41.87,0,achiev_< 50%,achiev_< 50%,reached
JG04,1.83,PG03,1.83,1,RM_type_A,Permanent,Male,1987,Y,1,0,1,level_4,3.17,2010,5,5,3,2,4,2,0,0,100.29,108.74,3,achiev_> 1.5,achiev_> 1.5,reached
JG03,0.92,PG01,0.92,0.75,RM_type_B,Contract,Male,1990,N,0,0,0,level_3,2.98,0,,1,2,1,0,0,1,0,,,,,,
JG04,2,PG04,2,0.42,RM_type_A,Permanent,Male,1973,Y,3,1,2,level_1,0,\N,23,23,11,13,54,5,0,0,,,,,,
JG04,1.75,PG03,1.75,1.5,RM_type_B,Permanent,Male,1988,Y,0,0,0,,,,6,6,3,2,0,7,1,0,113.2466667,117.43,3,achiev_100%-150%,achiev_> 1.5,reached
JG04,2.67,PG03,2.67,0.92,RM_type_A,Permanent,Male,1988,Y,0,0,0,,,,5,5,5,3,0,9,1,0,91.70666667,117,2,achiev_> 1.5,achiev_> 1.5,reached
JG04,1.75,PG03,1.75,0.5,RM_type_A,Permanent,Male,1989,Y,1,0,1,,,,5,5,2,4,0,10,13,0,109.52,111.6,3,achiev_100%-150%,achiev_> 1.5,reached
JG04,1.75,PG03,1.75,2.5,RM_type_C,Permanent,Male,1987,Y,0,0,0,,,,4,4,2,3,4,9,0,0,80.03333333,86.11,2,achiev_> 1.5,achiev_50%-100%,reached
JG03,0.92,PG01,0.92,0.92,RM_type_B,Contract,Male,1988,N,0,0,0,level_3,3,0,,1,1,1,0,0,0,0,,,,,,
JG04,0.5,PG03,0.5,0.5,RM_type_B,Permanent,Male,1991,Y,0,0,0,level_3,0,0,1,1,1,1,0,0,0,0,,,,,,
JG03,0.33,PG01,0.33,0.33,RM_type_B,Contract,Male,1988,N,0,0,0,level_4,2.98,0,,1,1,1,0,0,0,0,,,,,,
JG04,1.83,PG03,1.83,0.17,RM_type_A,Permanent,Male,1987,Y,1,1,0,,,,6,6,4,4,22,13,0,0,75.89,74.2,0,achiev_50%-100%,achiev_< 50%,reached
